region,Municipality,PM2.5,Distance to mines,Distance to roads,Precipitation,Temperature,Wind,Percentage of urban,Percentage of agriculture,Percentage of range land,Percentage forest,Percentage of barren land
La Araucania,Temuco,7.2,457.0,0.8,1206.1,11.6,2.3,21.1,66.6,16.3,36.5,0.0
Valparaiso,Papudo,7.1,22.4,1.7,325.0,15.6,3.0,17.2,21.4,32.9,48.5,22.2
Atacama,Tierra Amarilla,7.1,23.2,7.2,110.9,6.2,4.7,0.0,22.0,74.3,11.6,71.0
Biobio,Coronel,6.9,309.7,3.1,1297.9,12.4,3.6,30.0,16.7,21.7,63.1,11.1
Ñuble,Quillan,6.9,257.7,1.0,1179.9,13.1,2.4,14.6,36.5,31.8,40.8,11.7
Maule,Yerbas Buenas,6.8,108.2,0.7,909.6,13.7,1.9,12.6,85.3,15.3,17.2,0.0
Maule,Pencahue,6.7,76.0,1.2,852.2,13.4,2.2,12.7,34.5,31.1,53.7,12.5
Atacama,Diego de Almagro,6.7,36.9,20.9,136.7,8.2,4.9,13.0,0.0,38.2,11.1,97.1
Biobio,Negrete,6.6,341.7,1.1,1226.8,13.2,2.2,13.6,59.8,25.2,40.6,0.0
Valparaiso,Petorca,6.5,18.8,5.3,297.3,10.8,3.1,11.1,19.4,68.7,25.5,20.0
Biobio,Cabrero,6.5,277.3,1.1,1194.7,13.2,2.3,16.0,36.0,24.5,51.5,11.1
Valparaiso,La Ligua,6.2,20.0,2.7,301.7,15.1,2.8,14.4,23.3,46.0,45.5,15.1
Biobio,Lota,6.1,318.7,2.0,1400.8,11.8,3.7,18.6,12.7,18.3,78.2,11.1
Biobio,Los Angeles,6.1,312.0,1.2,1274.8,13.2,2.2,15.3,54.1,19.7,40.3,11.1
Coquimbo,Salamanca,6.1,28.2,10.5,267.0,6.6,3.9,17.6,20.1,66.8,15.0,49.3
Maule,Vichuquen,6.1,57.7,0.9,793.4,14.0,3.0,13.2,18.4,31.5,55.8,11.1
Ñuble,San Carlos,6.0,194.0,0.8,1012.1,13.4,2.1,15.8,69.7,22.2,25.4,11.1
Atacama,Copiapo,6.0,22.0,4.3,145.9,9.9,4.2,21.7,24.4,68.0,11.1,84.1
Atacama,Alto del Carmen,5.9,22.3,12.3,102.1,4.4,4.7,0.0,18.6,70.5,11.4,59.0
Ñuble,Bulnes,5.8,245.7,0.7,1077.2,13.4,2.2,14.8,65.2,19.5,26.3,11.9
Maule,San Clemente,5.7,134.9,10.1,857.3,7.4,3.5,13.7,35.0,34.1,33.0,58.7
Biobio,Laja,5.5,310.9,1.4,1229.5,13.4,2.3,14.4,32.5,26.0,56.9,0.0
Maule,Licanten,5.4,66.2,1.3,813.0,13.5,3.1,15.9,21.2,33.2,58.2,23.3
Maule,Curepto,5.2,67.4,1.1,845.2,13.3,2.7,12.8,21.7,37.9,56.6,16.9
Maule,San Javier,5.2,111.5,1.1,914.9,13.5,2.2,12.7,33.7,30.0,53.5,11.3
Ñuble,San Nicolas,5.2,210.7,1.0,934.3,13.6,2.2,14.3,44.5,28.2,34.8,11.2
La Araucania,Nueva Imperial,5.2,475.5,1.0,1055.3,12.0,2.6,16.7,66.1,18.6,30.2,0.0
Atacama,Vallenar,5.1,16.0,4.1,126.1,11.7,3.0,11.1,34.9,88.6,11.1,64.9
Coquimbo,La Serena,4.9,13.4,3.0,98.4,13.3,3.0,18.0,21.0,87.2,12.1,11.2
La Araucania,Renaico,4.9,352.6,1.0,1203.4,12.8,2.2,14.4,49.4,31.2,53.5,0.0
Ñuble,San Ignacio,4.8,240.5,0.6,1145.2,12.7,2.2,14.2,68.4,19.4,29.6,0.0
Antofagasta,Taltal,4.8,29.5,8.8,255.0,14.0,4.4,0.0,0.0,48.6,11.5,95.1
Coquimbo,Vicuña,4.8,30.9,9.7,111.2,4.8,4.5,17.5,19.1,62.4,11.8,66.5
Maule,Constitucion,4.8,110.8,1.4,913.9,12.7,3.1,12.0,18.5,20.0,77.0,18.4
Coquimbo,Andacollo,4.8,12.1,1.5,100.3,13.1,2.8,27.5,13.4,92.4,12.1,16.7
Maule,Retiro,4.6,146.8,1.0,1002.2,13.8,2.0,13.0,65.7,22.5,25.7,11.1
Coquimbo,Coquimbo,4.6,20.9,2.9,101.6,15.1,3.1,16.0,22.4,81.1,15.7,11.4
Coquimbo,Illapel,4.6,23.4,6.6,210.3,9.7,3.2,15.0,19.3,77.7,17.6,34.4
Maule,Cauquenes,4.6,163.3,1.1,866.7,13.4,2.6,15.4,24.7,31.0,56.4,0.0
Biobio,Nacimiento,4.6,339.4,1.7,1376.4,11.9,2.7,17.0,24.6,22.9,70.9,0.0
Maule,Linares,4.5,140.4,5.5,1062.3,10.5,2.7,16.5,40.6,20.8,50.1,46.8
Coquimbo,Paiguano,4.4,45.3,11.5,121.8,3.0,4.8,11.1,19.3,50.7,11.6,62.3
Los Rios,Valdivia,4.4,586.7,1.4,2140.3,10.9,3.4,22.8,16.0,29.6,63.7,11.1
Ñuble,Ñiquen,4.4,180.7,0.8,1065.3,13.4,2.1,11.1,73.4,18.0,29.1,11.1
La Araucania,Angol,4.3,367.4,1.2,1355.3,10.5,2.7,21.2,22.9,24.5,75.1,0.0
Coquimbo,Los Vilos,4.3,17.7,3.2,255.7,14.0,2.9,16.2,15.7,80.6,22.9,12.1
Maule,Parral,4.3,174.1,4.0,1133.9,11.8,2.4,13.8,57.4,22.1,49.7,20.6
Ñuble,Ranquil,4.2,244.0,0.8,1173.4,12.9,2.7,11.4,28.5,22.7,56.8,11.2
La Araucania,Victoria,4.2,403.4,0.9,1591.8,10.7,2.5,22.7,63.8,16.4,38.6,0.0
Los Lagos,Osorno,4.2,507.6,0.9,1456.0,11.0,2.5,26.9,30.0,84.2,17.2,0.0
Ñuble,Portezuelo,4.2,228.3,0.8,1044.1,13.4,2.5,11.7,31.3,23.1,53.9,11.8
Atacama,Caldera,4.2,27.3,2.7,245.8,15.2,3.9,20.0,15.4,81.6,12.0,64.1
Coquimbo,Monte Patria,4.2,21.1,9.4,164.3,7.1,3.7,12.8,21.5,71.0,11.8,40.0
Biobio,Yumbel,4.1,289.7,1.0,1249.4,12.9,2.5,13.9,37.2,26.5,48.0,0.0
Coquimbo,Combarbala,4.1,19.1,5.3,190.0,9.7,3.1,11.6,18.1,82.3,16.2,27.2
Atacama,Huasco,4.0,20.6,3.2,190.3,14.8,3.5,16.7,31.4,92.3,0.0,12.7
Atacama,Chañaral,3.9,23.2,2.4,258.9,15.7,3.8,0.0,0.0,55.4,11.1,81.0
Biobio,Mulchen,3.9,352.9,2.7,1599.7,11.3,2.6,18.1,32.0,19.5,68.4,11.1
Coquimbo,Rio Hurtado,3.9,27.7,9.9,123.9,7.2,3.8,11.9,14.3,73.3,11.3,53.2
Ñuble,Pemuco,3.8,260.1,1.3,1258.2,12.2,2.3,15.4,43.2,20.1,49.6,11.1
Coquimbo,Ovalle,3.8,21.3,2.8,137.3,14.8,2.7,13.7,28.9,78.6,15.4,14.8
Maule,Longavi,3.6,156.0,4.4,1120.8,11.2,2.5,12.9,54.7,23.3,47.8,25.5
Coquimbo,La Higuera,3.6,18.1,6.7,107.6,11.3,3.2,13.4,12.9,96.1,11.1,17.8
La Araucania,Ercilla,3.5,384.9,1.0,1438.9,11.2,2.4,13.1,44.5,17.4,54.9,0.0
Biobio,Tome,3.5,257.5,1.2,1205.8,12.2,3.5,15.4,16.7,28.3,59.3,13.3
Coquimbo,Canela,3.5,19.5,1.8,200.3,13.7,2.9,11.8,14.4,87.9,18.7,18.1
Biobio,Lebu,3.4,400.7,0.8,1498.7,12.3,3.5,21.2,19.1,31.9,53.3,16.1
Atacama,Freirina,3.4,25.0,3.9,156.0,13.9,3.3,0.0,32.0,96.2,0.0,11.1
Maule,Empedrado,3.4,130.9,1.5,938.3,12.4,2.9,11.3,16.0,18.9,82.6,0.0
Maule,Chanco,3.4,152.6,1.2,896.9,12.8,3.3,13.7,34.3,16.8,65.6,11.1
Biobio,Florida,3.4,268.9,1.0,1333.4,12.3,2.9,15.3,23.1,29.3,58.0,0.0
Ñuble,Ninhue,3.3,206.7,1.0,964.0,13.3,2.5,0.0,30.6,29.1,56.5,0.0
Maule,Colbun,3.3,162.9,18.9,906.3,7.6,3.4,13.4,31.1,40.7,28.5,51.0
Ñuble,El Carmen,3.3,247.3,1.1,1314.4,11.2,2.5,14.0,50.5,19.2,43.2,0.0
Biobio,Santa Juana,3.3,326.0,1.7,1443.9,11.7,3.1,21.1,19.6,25.1,69.9,11.1
Los Lagos,San Pablo,3.2,529.9,0.8,1469.6,11.0,2.6,22.3,32.6,73.5,28.4,0.0
Biobio,Hualqui,3.2,298.6,1.2,1441.7,12.4,2.9,15.7,18.4,28.6,58.7,11.1
Coquimbo,Punitaqui,3.2,12.3,1.7,172.5,13.9,2.6,12.3,20.4,85.8,18.4,17.4
Ñuble,Coihueco,3.2,221.1,4.7,1212.1,9.7,2.9,13.0,39.7,20.2,59.7,21.3
La Araucania,Perquenco,3.2,424.2,0.8,1355.2,11.4,2.4,13.0,80.1,15.9,22.7,0.0
Ñuble,Yungay,3.1,269.2,1.9,1355.6,11.3,2.5,13.5,35.4,22.7,57.3,12.7
Ñuble,Treguaco,3.1,227.7,1.2,1058.0,13.0,3.1,12.4,24.5,19.5,66.8,15.9
La Araucania,Cholchol,3.1,455.6,1.1,1030.8,11.8,2.4,16.6,58.0,16.2,40.1,0.0
La Araucania,Los Sauces,3.1,388.9,1.0,1198.7,11.4,2.5,12.6,31.9,23.8,61.4,0.0
Ñuble,Coelemu,3.0,240.9,0.8,1136.8,12.7,3.3,16.5,22.7,23.5,63.5,14.0
Ñuble,Pinto,3.0,245.5,9.1,1171.4,7.7,3.4,17.0,36.5,30.3,42.5,30.8
Maule,Pelluhue,3.0,179.2,1.1,899.2,12.4,3.6,13.1,21.8,18.6,74.9,11.1
Ñuble,Quirihue,3.0,203.0,1.0,971.1,12.6,3.0,16.4,24.2,25.4,63.3,16.7
La Araucania,Freire,2.9,484.9,0.9,1605.7,11.7,2.4,11.9,65.3,36.8,19.9,11.1
La Araucania,Traiguen,2.8,411.4,0.9,1222.1,11.7,2.3,16.3,54.4,16.6,44.7,0.0
La Araucania,Lautaro,2.7,433.3,1.0,1532.9,11.0,2.5,18.3,62.1,17.5,37.4,22.2
Biobio,Quilleco,2.6,304.6,3.3,1446.2,10.8,2.6,12.5,29.0,20.8,68.2,15.1
Ñuble,Cobquecura,2.6,210.0,1.2,958.3,12.3,3.6,11.1,20.8,22.4,68.9,11.8
La Araucania,Collipulli,2.5,373.7,1.8,1751.7,10.6,2.7,15.1,32.6,19.7,74.3,11.1
Biobio,Arauco,2.4,354.0,1.1,1335.0,12.3,3.6,14.6,16.7,32.5,54.8,14.8
La Araucania,Galvarino,2.4,437.2,0.8,1093.8,11.9,2.3,14.3,52.3,16.3,44.9,0.0
Los Lagos,Puerto Montt,2.4,406.3,2.7,2118.7,9.7,4.2,20.4,22.5,53.4,53.8,16.5
Biobio,Tucapel,2.3,279.4,3.6,1417.1,9.8,2.8,14.5,35.1,24.9,62.7,15.3
Biobio,Santa Barbara,2.2,323.5,4.3,1574.0,9.9,2.8,16.8,25.8,23.2,61.0,20.0
Los Rios,La Union,2.1,556.2,1.8,1887.4,10.2,3.3,22.4,17.7,41.9,63.0,13.3
Ñuble,San Fabian,2.1,208.7,11.5,1099.3,8.1,3.3,11.1,18.7,31.6,48.0,30.5
La Araucania,Puren,2.0,402.8,1.0,1416.9,10.8,2.8,11.5,32.1,27.1,59.4,0.0
Biobio,Los Alamos,2.0,386.3,1.5,1596.5,11.1,3.2,13.9,22.5,28.2,67.1,15.7
La Araucania,Pitrufquen,2.0,501.4,0.7,1732.4,11.6,2.5,12.6,24.7,68.8,28.4,11.1
La Araucania,Teodoro Schmidt,1.9,508.0,0.7,1433.6,12.2,3.1,16.2,65.2,20.1,25.4,16.7
Los Lagos,Frutillar,1.9,457.7,1.6,1566.2,10.8,2.8,20.2,25.7,81.4,19.9,0.0
La Araucania,Vilcun,1.9,447.7,1.3,1805.8,10.1,2.8,11.7,58.8,18.2,42.2,38.0
Biobio,Antuco,1.8,290.4,10.5,1241.7,6.9,3.7,11.1,18.1,43.6,37.4,29.3
Biobio,Curanilahue,1.8,361.2,1.3,1538.3,10.9,3.3,15.0,14.8,21.7,82.3,11.1
Los Lagos,Purranque,1.8,488.6,2.4,1727.3,9.7,3.2,11.1,21.9,68.7,51.0,0.0
Biobio,Cañete,1.8,403.2,1.4,1597.2,11.3,3.3,14.1,39.7,28.1,54.0,16.0
La Araucania,Saavedra,1.8,497.4,0.8,1232.5,12.6,3.4,11.1,61.8,15.9,15.7,11.3
Los Rios,Rio Bueno,1.7,506.8,3.4,1749.5,10.0,3.2,17.8,16.1,62.7,40.3,42.4
Los Lagos,Rio Negro,1.7,503.2,3.5,1677.2,9.9,3.2,14.3,22.1,67.9,50.1,0.0
La Araucania,Lumaco,1.7,430.9,1.2,1276.9,11.0,2.8,12.3,23.9,21.0,74.2,0.0
Biobio,Quilaco,1.7,360.8,5.0,1884.4,9.3,3.1,12.9,27.7,25.5,70.0,17.1
Los Rios,Lanco,1.7,545.8,1.3,2109.0,10.6,2.8,13.4,21.7,43.6,59.7,0.0
Los Rios,Panguipulli,1.7,554.1,3.7,1857.3,8.8,3.6,12.3,13.8,34.7,64.9,18.7
La Araucania,Carahue,1.6,473.6,1.1,1285.3,11.1,3.3,15.0,38.0,23.8,51.4,12.6
Biobio,Contulmo,1.6,414.7,1.1,1537.9,10.9,3.2,15.5,19.0,27.7,66.6,0.0
La Araucania,Gorbea,1.6,510.8,0.9,1817.4,11.3,2.5,12.0,22.0,55.0,44.3,11.1
Los Rios,Corral,1.6,583.0,2.0,2206.9,10.0,3.9,18.0,11.3,21.2,80.4,14.3
La Araucania,Loncoche,1.6,528.1,1.0,2078.3,10.8,2.7,16.5,24.7,46.4,51.4,0.0
Los Lagos,Llanquihue,1.5,443.7,1.3,1665.6,10.6,3.0,12.7,21.7,86.0,20.6,0.0
La Araucania,Villarrica,1.5,513.9,1.3,2292.4,10.3,2.8,15.7,15.2,54.1,40.3,14.4
Los Rios,Paillaco,1.5,558.8,1.2,1925.5,10.8,2.8,13.4,24.1,56.6,44.9,0.0
Los Rios,Mafil,1.5,571.8,1.4,1959.7,11.2,2.7,11.3,15.2,48.0,57.1,0.0
Biobio,Tirua,1.5,448.4,1.0,1430.3,11.6,3.5,11.1,22.8,32.1,50.3,11.1
Los Rios,Mariquina,1.5,557.6,1.3,1978.0,11.1,3.3,12.8,14.4,37.4,62.7,11.2
Biobio,Alto Biobio,1.4,349.8,7.4,1498.9,7.2,3.7,0.0,14.5,38.0,49.9,23.2
Los Lagos,Calbuco,1.4,396.3,1.0,1984.7,10.8,3.8,16.8,17.7,64.2,26.9,11.6
La Araucania,Tolten,1.3,527.8,1.3,1738.6,11.5,3.3,12.6,30.8,27.7,56.1,18.8
La Araucania,Cunco,1.3,475.9,1.7,2002.9,9.7,3.0,12.3,42.8,33.0,54.4,26.1
La Araucania,Curacautin,1.2,412.9,1.7,1975.5,8.4,3.4,16.5,32.9,24.7,57.6,30.3
Los Lagos,Ancud,1.2,399.3,2.6,2345.8,10.3,3.7,18.3,17.9,69.1,35.5,11.1
Los Rios,Los Lagos,1.2,570.4,2.5,2064.0,10.1,3.0,13.2,18.0,42.8,62.6,17.0
Los Lagos,Maullin,1.1,419.4,0.9,1949.1,10.8,3.6,11.1,16.9,59.4,34.7,15.1
La Araucania,Lonquimay,1.1,418.3,4.0,1354.0,7.2,4.0,13.9,15.6,44.3,48.6,20.1
Los Lagos,Puerto Octay,1.0,460.5,2.5,1950.2,10.3,3.2,0.0,20.4,62.7,41.8,20.1
Los Lagos,Quinchao,1.0,326.8,7.9,2223.3,10.9,4.0,11.1,20.6,52.2,13.9,11.1
La Araucania,Melipeuco,1.0,455.6,2.7,1633.5,7.5,3.9,11.1,31.0,31.1,57.5,30.6
Los Lagos,Quemchi,1.0,361.5,5.1,2304.7,10.7,3.9,11.1,16.7,67.5,25.2,11.1
Los Lagos,Puerto Varas,1.0,429.5,7.6,2115.8,8.9,4.3,27.0,20.8,39.9,58.1,17.7
La Araucania,Pucon,0.9,506.3,2.2,1781.5,8.7,3.6,13.5,11.1,36.2,63.2,19.0
Los Lagos,San Juan de la Costa,0.9,535.8,3.3,1893.6,9.5,3.7,0.0,21.6,50.4,65.2,0.0
Los Lagos,Puyehue,0.9,479.6,3.0,1873.3,9.5,3.5,0.0,24.3,54.6,43.9,29.4
Aysen del General Carlos Ibañez del Campo,Rio Ibañez,0.9,60.9,8.9,1019.3,4.6,6.4,11.1,20.1,30.3,39.8,32.2
Los Lagos,Los Muermos,0.9,446.8,0.9,1902.3,10.1,3.6,0.0,20.4,76.3,31.4,14.9
Aysen del General Carlos Ibañez del Campo,Chile Chico,0.9,64.8,12.7,927.5,4.5,6.8,12.4,15.0,41.7,30.5,31.5
Aysen del General Carlos Ibañez del Campo,Coyhaique,0.8,63.1,4.8,968.4,5.5,6.0,14.1,18.5,44.0,41.0,32.6
Los Lagos,Fresia,0.8,472.4,3.4,1840.5,9.6,3.4,16.7,25.6,70.8,41.1,11.1
Aysen del General Carlos Ibañez del Campo,Cochrane,0.8,108.9,13.4,903.8,4.9,6.8,11.1,17.8,42.5,33.1,35.3
Los Lagos,Curaco de Velez,0.8,348.0,0.4,2268.6,10.6,4.0,12.1,18.0,72.4,16.9,0.0
Los Lagos,Hualaihue,0.8,319.6,14.7,1920.7,7.7,5.3,11.1,15.1,23.2,61.9,21.8
Los Lagos,Puqueldon,0.8,334.3,0.9,2112.8,10.6,4.0,11.1,15.8,61.6,19.9,11.1
Los Rios,Lago Ranco,0.8,515.3,6.1,1831.3,9.2,3.7,11.4,16.1,33.0,58.7,29.4
Los Lagos,Chaiten,0.8,230.3,15.1,2126.0,7.9,4.8,19.9,21.1,28.3,65.4,21.1
Aysen del General Carlos Ibañez del Campo,O'Higgins,0.8,220.4,22.5,893.9,4.2,7.4,0.0,0.0,35.9,28.3,35.6
Aysen del General Carlos Ibañez del Campo,Guaitecas,0.8,254.1,14.8,2843.2,9.0,4.5,0.0,16.7,45.3,29.7,0.0
La Araucania,Curarrehue,0.7,512.1,2.8,1322.5,7.4,4.2,11.1,11.1,28.0,66.2,28.5
Aysen del General Carlos Ibañez del Campo,Cisnes,0.7,171.4,34.0,2306.2,7.3,5.1,12.2,12.9,27.0,59.2,21.4
Los Lagos,Queilen,0.7,309.8,1.2,2157.7,10.4,4.1,0.0,0.0,53.0,36.0,11.1
Los Lagos,Cochamo,0.7,360.8,9.8,1839.4,7.3,5.2,11.1,12.8,34.7,56.9,19.0
Los Lagos,Futaleufu,0.7,203.1,6.0,1524.8,6.2,5.1,0.0,0.0,44.2,31.9,20.7
Aysen del General Carlos Ibañez del Campo,Aisen,0.7,198.5,72.2,2147.2,6.7,5.9,15.6,20.3,38.3,48.6,22.2
Los Lagos,Palena,0.7,148.0,8.5,1459.4,6.3,5.2,0.0,11.1,38.5,42.9,23.5
Los Rios,Futrono,0.7,542.8,6.0,1772.7,8.6,3.9,14.6,19.2,31.7,69.6,21.3
Los Lagos,Castro,0.7,359.7,4.1,2203.1,9.4,4.1,20.5,19.2,57.9,50.0,15.7
Los Lagos,Dalcahue,0.6,375.9,8.2,2282.9,9.1,4.0,17.4,21.4,57.2,50.7,0.0
Aysen del General Carlos Ibañez del Campo,Lago Verde,0.6,66.9,10.8,1073.2,5.7,5.8,11.1,11.6,37.6,50.6,26.9
Aysen del General Carlos Ibañez del Campo,Tortel,0.6,274.4,90.8,2706.7,5.9,7.2,0.0,11.1,34.7,30.3,24.4
Los Lagos,Quellen,0.6,321.4,27.7,2039.7,8.8,4.1,12.6,19.3,35.0,75.6,11.5
Los Lagos,Chonchi,0.6,350.3,4.2,2053.4,9.3,4.0,11.2,12.3,50.7,58.7,12.6
Magallanes y de la Antartica Chilena,Torres del Paine,0.5,499.0,10.8,770.9,4.7,7.4,0.0,0.0,60.4,25.2,34.7
Magallanes y de la Antartica Chilena,Natales,0.4,512.6,131.1,2786.8,5.3,8.2,24.9,13.9,47.3,31.5,24.8
Magallanes y de la Antartica Chilena,Porvenir,0.4,805.9,7.1,399.5,5.9,6.2,19.9,16.7,92.8,20.8,0.0
Magallanes y de la Antartica Chilena,Primavera,0.4,757.9,5.2,305.0,6.5,6.3,0.0,0.0,87.6,22.5,0.0
Magallanes y de la Antartica Chilena,San Gregorio,0.4,671.5,6.1,183.1,6.3,6.4,0.0,0.0,95.1,19.6,30.6
Magallanes y de la Antartica Chilena,Laguna Blanca,0.4,642.8,5.7,327.2,5.6,6.4,0.0,0.0,86.7,26.5,36.4
Magallanes y de la Antartica Chilena,Timaukel,0.4,894.6,35.6,723.8,4.1,7.3,0.0,0.0,44.5,42.4,26.8
Magallanes y de la Antartica Chilena,Rio Verde,0.3,694.1,56.5,1326.4,4.7,8.2,0.0,0.0,46.7,33.1,29.9
Magallanes y de la Antartica Chilena,Punta Arenas,0.3,788.0,84.8,1562.4,4.9,8.1,28.5,19.3,46.4,35.7,31.6
Magallanes y de la Antartica Chilena,Cabo de Hornos,0.3,996.9,75.6,959.2,3.8,7.9,14.7,11.1,26.4,27.7,27.8
